county,precinct,office,district,seats,party,candidate,votes
Martin,Perry 4,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,153
Martin,Perry 4,Attorney General,,1,DEM,Destiny WELLS,82
Martin,Perry 4,Attorney General,,1,REP,Todd ROKITA,216
Martin,Perry 4,County Auditor,,1,DEM,Michelle NORRIS,193
Martin,Perry 4,County Commissioner,1,1,REP,Retha WARNER,246
Martin,Perry 4,County Commissioner,3,1,REP,Aaron Moose SUMMERS,169
Martin,Perry 4,County Commissioner,3,1,IND,Jason B McCOY,111
Martin,Perry 4,County Coroner,,1,REP,Tony ABEL,246
Martin,Perry 4,County Recorder,,1,REP,Sheri CRANDALL,242
Martin,Perry 4,County Surveyor,,1,REP,Nathan Dale HOFFMAN,239
Martin,Perry 4,County Treasurer,,1,REP,Rhonda SANDERS,246
Martin,Perry 4,County Council,At Large,3,REP,Gerald D MONTGOMERY,126
Martin,Perry 4,County Council,At Large,3,REP,Jim WOODY,149
Martin,Perry 4,County Council,At Large,3,REP,Warren D ALBRIGHT,155
Martin,Perry 5,President,,1,,Write-In,4
Martin,Perry 5,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Martin,Perry 5,President,,1,REP,Donald J. TRUMP / JD Vance,258
Martin,Perry 5,President,,1,DEM,Kamala D. HARRIS / Tim Walz,70
Martin,Perry 5,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,6
Martin,Perry 5,U.S. Senate,,1,LBT,Andrew HORNING,10
Martin,Perry 5,U.S. Senate,,1,,Write-In,1
Martin,Perry 5,U.S. Senate,,1,REP,Jim BANKS,242
Martin,Perry 5,U.S. Senate,,1,DEM,Valerie McCRAY,81
Martin,Perry 5,U.S. House,8,1,DEM,Erik HURT,81
Martin,Perry 5,U.S. House,8,1,LBT,K Richard FITZLAFF,26
Martin,Perry 5,U.S. House,8,1,REP,Mark MESSMER,235
Martin,Perry 5,Governor,,1,,Write-In,0
Martin,Perry 5,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,72
Martin,Perry 5,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,111
Martin,Perry 5,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,156
Martin,Perry 5,Attorney General,,1,DEM,Destiny WELLS,90
Martin,Perry 5,Attorney General,,1,REP,Todd ROKITA,245
Martin,Perry 5,County Auditor,,1,DEM,Michelle NORRIS,211
Martin,Perry 5,County Commissioner,1,1,REP,Retha WARNER,269
Martin,Perry 5,County Commissioner,3,1,REP,Aaron Moose SUMMERS,171
Martin,Perry 5,County Commissioner,3,1,IND,Jason B McCOY,149
Martin,Perry 5,County Coroner,,1,REP,Tony ABEL,271
Martin,Perry 5,County Recorder,,1,REP,Sheri CRANDALL,266
Martin,Perry 5,County Surveyor,,1,REP,Nathan Dale HOFFMAN,268
Martin,Perry 5,County Treasurer,,1,REP,Rhonda SANDERS,272
Martin,Perry 5,County Council,At Large,3,REP,Gerald D MONTGOMERY,144
Martin,Perry 5,County Council,At Large,3,REP,Jim WOODY,169
Martin,Perry 5,County Council,At Large,3,REP,Warren D ALBRIGHT,164
Martin,Perry 6,President,,1,,Write-In,0
Martin,Perry 6,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Martin,Perry 6,President,,1,REP,Donald J. TRUMP / JD Vance,335
Martin,Perry 6,President,,1,DEM,Kamala D. HARRIS / Tim Walz,112
Martin,Perry 6,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,2
Martin,Perry 6,U.S. Senate,,1,LBT,Andrew HORNING,21
Martin,Perry 6,U.S. Senate,,1,,Write-In,0
Martin,Perry 6,U.S. Senate,,1,REP,Jim BANKS,305
Martin,Perry 6,U.S. Senate,,1,DEM,Valerie McCRAY,115
Martin,Perry 6,U.S. House,8,1,DEM,Erik HURT,115
Martin,Perry 6,U.S. House,8,1,LBT,K Richard FITZLAFF,30
Martin,Perry 6,U.S. House,8,1,REP,Mark MESSMER,299
Martin,Perry 6,Governor,,1,,Write-In,0
Martin,Perry 6,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,85
Martin,Perry 6,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,153
Martin,Perry 6,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,208
