candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 07,116,18,46,0,180
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 07,67,8,31,0,106
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 07,122,18,49,0,189
Write In ,U S House,9,,Floyd,NEW ALBANY 07,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 07,70,9,31,0,110
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 07,119,17,48,0,184
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 07,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 07,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 07,69,7,29,0,105
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 07,120,19,50,0,189
,Registered Voters,,,Floyd,NEW ALBANY 09,,,,,3752
,Ballots Cast,,,Floyd,NEW ALBANY 09,272,36,247,,555
,Straight Party,,R,Floyd,NEW ALBANY 09,57,9,63,0,129
,Straight Party,,D,Floyd,NEW ALBANY 09,68,13,69,0,150
,Straight Party,,L,Floyd,NEW ALBANY 09,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 09,119,138,11,0,268
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 09,19,17,0,0,36
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 09,111,128,5,0,244
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 09,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 09,124,130,8,1,263
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 09,18,18,0,0,36
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 09,117,114,7,0,238
Write In ,Secretary of State,,,Floyd,NEW ALBANY 09,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 09,123,17,118,0,258
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 09,128,18,115,0,261
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 09,8,0,3,0,11
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 09,129,17,118,0,264
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 09,129,18,117,0,264
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 09,127,18,108,0,253
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 09,142,18,135,0,295
Write In ,U S House,9,,Floyd,NEW ALBANY 09,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 09,133,19,121,0,273
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 09,134,17,120,0,271
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 09,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 09,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 09,126,17,128,0,271
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 09,141,18,115,0,274
,Registered Voters,,,Floyd,NEW ALBANY 10,,,,,4384
,Ballots Cast,,,Floyd,NEW ALBANY 10,271,27,161,,459
,Straight Party,,R,Floyd,NEW ALBANY 10,69,4,27,0,100
,Straight Party,,D,Floyd,NEW ALBANY 10,84,12,57,0,153
,Straight Party,,L,Floyd,NEW ALBANY 10,3,0,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 10,110,135,23,0,268
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 10,9,14,2,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 10,52,100,8,0,160
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 10,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 10,120,132,13,1,266
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 10,9,14,2,0,25
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 10,53,99,5,0,157
Write In ,Secretary of State,,,Floyd,NEW ALBANY 10,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 10,115,9,51,0,175
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 10,135,16,104,0,255
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 10,15,1,2,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 10,127,8,52,0,187
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 10,132,18,105,0,255
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 10,115,10,51,0,176
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 10,149,16,109,0,274
Write In ,U S House,9,,Floyd,NEW ALBANY 10,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 10,120,10,50,0,180
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 10,144,17,108,0,269
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 10,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 10,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 10,123,9,62,0,194
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 10,139,18,98,0,255
,Registered Voters,,,Floyd,NEW ALBANY 11,,,,,5248
,Ballots Cast,,,Floyd,NEW ALBANY 11,316,47,237,1,601
,Straight Party,,R,Floyd,NEW ALBANY 11,60,4,28,0,92
,Straight Party,,D,Floyd,NEW ALBANY 11,118,24,83,1,226
,Straight Party,,L,Floyd,NEW ALBANY 11,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 11,102,193,18,1,314
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 11,6,40,1,0,47
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 11,57,164,12,1,234
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 11,0,1,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 11,99,186,18,1,304
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 11,7,40,0,0,47
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 11,68,156,10,0,234
Write In ,Secretary of State,,,Floyd,NEW ALBANY 11,0,1,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 11,104,6,68,0,178
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 11,182,41,157,1,381
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 11,16,0,9,0,25
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 11,117,7,69,0,193
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 11,185,40,164,1,390
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 11,117,6,65,0,188
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 11,196,41,170,1,408
Write In ,U S House,9,,Floyd,NEW ALBANY 11,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 11,115,9,72,0,196
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 11,196,38,164,1,399
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 11,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 11,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 11,129,9,85,0,223
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 11,184,37,152,1,374
,Registered Voters,,,Floyd,NEW ALBANY 13,,,,,2396
,Ballots Cast,,,Floyd,NEW ALBANY 13,175,21,105,2,303
,Straight Party,,R,Floyd,NEW ALBANY 13,55,2,27,0,84
,Straight Party,,D,Floyd,NEW ALBANY 13,52,9,24,0,85
,Straight Party,,L,Floyd,NEW ALBANY 13,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 13,88,76,11,0,175
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 13,7,14,0,0,21
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 13,46,56,0,0,102
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 13,0,2,0,0,2
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 13,88,78,8,0,174
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 13,6,15,0,0,21
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 13,51,52,1,0,104
Write In ,Secretary of State,,,Floyd,NEW ALBANY 13,0,2,0,0,2
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 13,89,8,48,0,145
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 13,72,13,52,2,139
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 13,11,0,2,0,13
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 13,93,7,51,0,151
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 13,79,14,53,2,148
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 13,94,6,47,0,147
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 13,81,15,57,2,155
Write In ,U S House,9,,Floyd,NEW ALBANY 13,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 13,93,4,51,0,148
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 13,81,15,54,2,152
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 13,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 13,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 13,93,8,46,0,147
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 13,80,13,55,2,150
,Registered Voters,,,Floyd,NEW ALBANY 14,,,,,3820
,Ballots Cast,,,Floyd,NEW ALBANY 14,274,41,215,1,531
,Straight Party,,R,Floyd,NEW ALBANY 14,71,6,39,0,116
,Straight Party,,D,Floyd,NEW ALBANY 14,81,18,68,0,167
,Straight Party,,L,Floyd,NEW ALBANY 14,3,0,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 14,128,135,8,1,272
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 14,9,31,1,0,41
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 14,60,146,6,0,212
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 14,0,1,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 14,128,134,9,0,271
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 14,8,32,0,0,40
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 14,66,136,6,0,208
Write In ,Secretary of State,,,Floyd,NEW ALBANY 14,0,1,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 14,128,8,69,0,205
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 14,129,31,133,1,294
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 14,14,1,4,0,19
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 14,134,10,74,0,218
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 14,137,30,132,1,300
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 14,137,10,69,0,216
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 14,131,30,143,1,305
Write In ,U S House,9,,Floyd,NEW ALBANY 14,2,1,2,0,5
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 14,135,11,79,0,225
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 14,136,30,135,1,302
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 14,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 14,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 14,138,13,80,0,231
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 14,133,28,133,1,295
,Registered Voters,,,Floyd,NEW ALBANY 16,,,,,3016
,Ballots Cast,,,Floyd,NEW ALBANY 16,238,40,172,2,452
,Straight Party,,R,Floyd,NEW ALBANY 16,62,14,37,0,113
,Straight Party,,D,Floyd,NEW ALBANY 16,64,6,56,1,127
,Straight Party,,L,Floyd,NEW ALBANY 16,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 16,105,123,7,0,235
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 16,25,14,1,0,40
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 16,76,87,6,0,169
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 16,1,1,0,0,2
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 16,108,110,11,0,229
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 16,23,16,1,0,40
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 16,82,84,3,1,170
Write In ,Secretary of State,,,Floyd,NEW ALBANY 16,0,1,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 16,110,24,76,1,211
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 16,108,15,88,1,212
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 16,12,1,4,0,17
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 16,115,23,79,0,217
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 16,114,17,88,2,221
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 16,109,24,76,1,210
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 16,124,16,95,1,236
Write In ,U S House,9,,Floyd,NEW ALBANY 16,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 16,114,24,81,1,220
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 16,119,14,90,1,224
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 16,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 16,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 16,117,27,77,1,222
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 16,117,13,93,1,224
,Registered Voters,,,Floyd,NEW ALBANY 18,,,,,2964
,Ballots Cast,,,Floyd,NEW ALBANY 18,233,30,230,,493
,Straight Party,,R,Floyd,NEW ALBANY 18,54,4,36,0,94
,Straight Party,,D,Floyd,NEW ALBANY 18,57,5,54,0,116
,Straight Party,,L,Floyd,NEW ALBANY 18,0,0,0,0,0
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 18,103,119,9,0,231
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 18,10,18,1,0,29
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 18,86,140,4,0,230
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 18,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 18,107,106,11,1,225
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 18,10,17,1,0,28
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 18,90,130,3,0,223
Write In ,Secretary of State,,,Floyd,NEW ALBANY 18,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 18,108,9,94,0,211
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 18,105,17,124,0,246
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 18,10,1,6,0,17
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 18,117,10,93,0,220
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 18,104,18,130,0,252
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 18,105,10,85,0,200
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 18,123,19,141,0,283
Write In ,U S House,9,,Floyd,NEW ALBANY 18,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 18,121,11,101,0,233
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 18,109,18,127,0,254
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 18,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 18,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 18,122,13,110,0,245
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 18,106,16,119,0,241
,Registered Voters,,,Floyd,NEW ALBANY 19,,,,,3508
,Ballots Cast,,,Floyd,NEW ALBANY 19,199,41,185,1,426
,Straight Party,,R,Floyd,NEW ALBANY 19,56,14,32,1,103
,Straight Party,,D,Floyd,NEW ALBANY 19,63,10,49,0,122
,Straight Party,,L,Floyd,NEW ALBANY 19,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 19,88,94,12,0,194
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 19,16,23,0,0,39
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 19,80,97,6,0,183
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 19,1,0,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 19,93,91,13,0,197
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 19,18,21,0,0,39
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 19,83,97,4,0,184
Write In ,Secretary of State,,,Floyd,NEW ALBANY 19,1,0,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 19,91,20,79,1,191
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 19,91,19,98,0,208
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 19,15,0,4,0,19
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 19,95,17,85,1,198
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 19,99,22,97,0,218
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 19,94,20,75,1,190
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 19,102,19,108,0,229
Write In ,U S House,9,,Floyd,NEW ALBANY 19,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 19,90,21,85,1,197
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 19,106,19,97,0,222
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 19,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 19,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 19,92,22,76,1,191
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 19,104,18,107,0,229
,Registered Voters,,,Floyd,NEW ALBANY 20,,,,,4512
,Ballots Cast,,,Floyd,NEW ALBANY 20,327,43,229,,599
,Straight Party,,R,Floyd,NEW ALBANY 20,96,7,56,0,159
,Straight Party,,D,Floyd,NEW ALBANY 20,83,19,65,0,167
,Straight Party,,L,Floyd,NEW ALBANY 20,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 20,163,149,8,0,320
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 20,12,28,2,0,42
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 20,95,128,3,0,226
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 20,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 20,173,130,10,1,314
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 20,13,28,2,0,43
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 20,100,119,1,1,221
Write In ,Secretary of State,,,Floyd,NEW ALBANY 20,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 20,169,14,102,0,285
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 20,131,27,111,0,269
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 20,9,0,6,0,15
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 20,177,12,100,0,289
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 20,133,29,119,0,281
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 20,179,15,102,0,296
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 20,143,28,124,0,295
Write In ,U S House,9,,Floyd,NEW ALBANY 20,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 20,179,17,115,0,311
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 20,143,25,111,0,279
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 20,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 20,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 20,180,18,113,0,311
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 20,140,25,112,0,277
,Registered Voters,,,Floyd,NEW ALBANY 21,,,,,4040
,Ballots Cast,,,Floyd,NEW ALBANY 21,210,27,70,,307
,Straight Party,,R,Floyd,NEW ALBANY 21,45,4,20,0,69
,Straight Party,,D,Floyd,NEW ALBANY 21,103,15,19,0,137
,Straight Party,,L,Floyd,NEW ALBANY 21,6,0,0,0,6
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 21,58,137,12,0,207
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 21,6,17,3,0,26
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 21,31,33,4,0,68
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 21,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 21,66,132,8,1,207
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 21,6,21,0,0,27
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 21,34,34,0,0,68
Write In ,Secretary of State,,,Floyd,NEW ALBANY 21,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 21,65,6,34,0,105
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 21,133,21,34,0,188
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 21,9,0,0,0,9
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 21,75,5,35,0,115
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 21,132,21,33,0,186
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 21,63,8,31,0,102
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 21,144,19,38,0,201
Write In ,U S House,9,,Floyd,NEW ALBANY 21,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 21,65,8,35,0,108
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 21,142,19,32,0,193
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 21,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 21,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 21,69,6,35,0,110
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 21,139,21,33,0,193
,Registered Voters,,,Floyd,NEW ALBANY 22,,,,,3972
,Ballots Cast,,,Floyd,NEW ALBANY 22,219,57,166,,442
,Straight Party,,R,Floyd,NEW ALBANY 22,50,10,38,0,98
,Straight Party,,D,Floyd,NEW ALBANY 22,76,16,50,0,142
,Straight Party,,L,Floyd,NEW ALBANY 22,2,0,1,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 22,89,113,12,0,214
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 22,20,36,1,0,57
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 22,70,90,4,0,164
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 22,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 22,93,113,9,1,216
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 22,17,34,3,0,54
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 22,66,90,4,0,160
Write In ,Secretary of State,,,Floyd,NEW ALBANY 22,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 22,90,14,69,0,173
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 22,116,36,84,0,236
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 22,9,3,6,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 22,106,18,72,0,196
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 22,110,35,87,0,232
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 22,98,19,69,0,186
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 22,119,35,95,0,249
Write In ,U S House,9,,Floyd,NEW ALBANY 22,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 22,99,22,74,0,195
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 22,119,32,90,0,241
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 22,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 22,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 22,98,25,76,0,199
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 22,119,29,83,0,231
,Registered Voters,,,Floyd,NEW ALBANY 23,,,,,4404
,Ballots Cast,,,Floyd,NEW ALBANY 23,273,50,148,,471
,Straight Party,,R,Floyd,NEW ALBANY 23,65,3,31,0,99
,Straight Party,,D,Floyd,NEW ALBANY 23,120,22,42,0,184
,Straight Party,,L,Floyd,NEW ALBANY 23,7,2,0,0,9
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 23,96,162,13,0,271
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 23,9,38,1,0,48
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 23,54,85,5,0,144
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 23,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 23,101,155,15,0,271
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 23,9,39,0,0,48
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 23,61,79,3,0,143
Write In ,Secretary of State,,,Floyd,NEW ALBANY 23,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 23,96,11,60,0,167
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 23,157,37,80,0,274
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 23,17,0,1,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 23,99,12,60,0,171
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 23,166,36,80,0,282
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 23,102,8,62,0,172
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 23,171,42,84,0,297
Write In ,U S House,9,,Floyd,NEW ALBANY 23,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 23,99,9,60,0,168
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 23,171,39,85,0,295
