county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Marshall,Polk 2,U.S. Senate,,L,Lucy M. Brenton,27,,,,,
Marshall,Polk 2,U.S. Senate,,,Write in,0,,,,,
Marshall,Polk 2,State Secretary,,R,Connie Lawson,453,,,,,
Marshall,Polk 2,State Secretary,,D,Jim Harper,252,,,,,
Marshall,Polk 2,State Secretary,,L,Mark W. Rutherford,28,,,,,
Marshall,Polk 2,State Secretary,,,Write in,0,,,,,
Marshall,Polk 2,State Auditor,,R,Tera Klutz,455,,,,,
Marshall,Polk 2,State Auditor,,D,Joselyn Whitticker,238,,,,,
Marshall,Polk 2,State Auditor,,L,John Schick,25,,,,,
Marshall,Polk 2,State Treasurer,,R,Kelly Mitchell,478,,,,,
Marshall,Polk 2,State Treasurer,,D,John C. Aguilera,242,,,,,
Marshall,Polk 2,U.S. House,2,R,Jackie Walorski,423,,,,,
Marshall,Polk 2,U.S. House,2,D,Mel Hall,323,,,,,
Marshall,Polk 2,U.S. House,2,,Write in,1,,,,,
Marshall,Polk 2,State House,17,R,Jack Jordan,451,,,,,
Marshall,Polk 2,State House,17,D,Michelle Livinghouse,277,,,,,
Marshall,Polk 2,U.S. Senate,,R,Mike Braun,242,,,,,
Marshall,Polk 2,U.S. Senate,,D,Joe Donnelly,166,,,,,
Marshall,Polk 2,U.S. Senate,,L,Lucy M. Brenton,24,,,,,
Marshall,Polk 2,U.S. Senate,,,Write in,1,,,,,
Marshall,Polk 2,State Secretary,,R,Connie Lawson,268,,,,,
Marshall,Polk 2,State Secretary,,D,Jim Harper,134,,,,,
Marshall,Polk 2,State Secretary,,L,Mark W. Rutherford,25,,,,,
Marshall,Polk 2,State Secretary,,,Write in,1,,,,,
Marshall,Polk 2,State Auditor,,R,Tera Klutz,269,,,,,
Marshall,Polk 2,State Auditor,,D,Joselyn Whitticker,138,,,,,
