county,precinct,election_day,absentee,provisional,votes,office,district,candidate,party
Wabash,015 - Chester 4,165,74,0,239,State Senate,17,ANDY ZAY,R
Wabash,015 - Chester 4,109,71,0,180,State Senate,17,GARY L. SNYDER,D
Wabash,015 - Chester 4,159,75,0,234,State Representative,18,DAVID A. WOLKINS,R
Wabash,015 - Chester 4,117,70,0,187,State Representative,18,DEE M MOORE,D
Wabash,015 - Chester 4,197,102,0,299,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,015 - Chester 4,201,108,0,309,Circuit Court Clerk,,LORI DRAPER,R
Wabash,015 - Chester 4,196,101,0,297,County Recorder,,ERIC RISH,R
Wabash,015 - Chester 4,206,105,0,311,County Sheriff,,RYAN T. BAKER,R
Wabash,015 - Chester 4,202,108,0,310,County Assessor,,KELLY SCHENKEL,R
Wabash,015 - Chester 4,198,106,0,304,County Commissioner District 2,,JEFF DAWES,R
Wabash,015 - Chester 4,206,101,0,307,County Council District 1,,MATTHEW J. MIZE,R
Wabash,015 - Chester 4,205,110,0,315,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,015 - Chester 4,150,84,0,234,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,015 - Chester 4,140,64,0,204,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,015 - Chester 4,125,61,0,186,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,015 - Chester 4,111,76,0,187,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,015 - Chester 4,133,51,0,184,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,015 - Chester 4,140,73,0,213,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,015 - Chester 4,103,63,0,166,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,015 - Chester 4,67,23,0,90,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,015 - Chester 4,70,33,0,103,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,015 - Chester 4,86,44,0,130,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,015 - Chester 4,157,95,0,252,IN Supreme Court-Slaughter,,YES,
Wabash,015 - Chester 4,74,25,0,99,IN Supreme Court-Slaughter,,NO,
Wabash,015 - Chester 4,161,97,0,258,Court of Appeals Dist 2-Altice,,YES,
Wabash,015 - Chester 4,70,22,0,92,Court of Appeals Dist 2-Altice,,NO,
Wabash,016 - Chester 5,97,180,0,277,Public Question,,YES,
Wabash,016 - Chester 5,82,107,0,189,Public Question,,NO,
Wabash,016 - Chester 5,42,86,0,128,Public Question-Manchester Schools,,YES,
Wabash,016 - Chester 5,144,214,0,358,Public Question-Manchester Schools,,NO,
Wabash,016 - Chester 5,105,115,0,220,U.S. Senate,,MIKE BRAUN,R
Wabash,016 - Chester 5,68,178,0,246,U.S. Senate,,JOE DONNELLY,D
Wabash,016 - Chester 5,15,8,0,23,U.S. Senate,,LUCY M. BRENTON,L
Wabash,016 - Chester 5,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,016 - Chester 5,117,132,0,249,Secretary of State,,CONNIE LAWSON,R
Wabash,016 - Chester 5,61,156,0,217,Secretary of State,,JIM HARPER,D
Wabash,016 - Chester 5,9,10,0,19,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,016 - Chester 5,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,016 - Chester 5,115,129,0,244,Auditor of State,,TERA KLUTZ,R
Wabash,016 - Chester 5,62,162,0,224,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,016 - Chester 5,6,7,0,13,Auditor of State,,JOHN SCHICK,L
Wabash,016 - Chester 5,125,140,0,265,Treasurer of State,,KELLY MITCHELL,R
Wabash,016 - Chester 5,57,158,0,215,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,016 - Chester 5,114,127,0,241,U.S. House,2,JACKIE WALORSKI,R
Wabash,016 - Chester 5,72,173,0,245,U.S. House,2,MEL HALL,D
Wabash,016 - Chester 5,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,016 - Chester 5,116,126,0,242,State Senate,17,ANDY ZAY,R
Wabash,016 - Chester 5,67,169,0,236,State Senate,17,GARY L. SNYDER,D
Wabash,016 - Chester 5,116,135,0,251,State Representative,18,DAVID A. WOLKINS,R
Wabash,016 - Chester 5,70,165,0,235,State Representative,18,DEE M MOORE,D
Wabash,016 - Chester 5,146,175,0,321,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,016 - Chester 5,153,185,0,338,Circuit Court Clerk,,LORI DRAPER,R
Wabash,016 - Chester 5,148,171,0,319,County Recorder,,ERIC RISH,R
Wabash,016 - Chester 5,148,181,0,329,County Sheriff,,RYAN T. BAKER,R
Wabash,016 - Chester 5,155,183,0,338,County Assessor,,KELLY SCHENKEL,R
Wabash,016 - Chester 5,147,176,0,323,County Commissioner District 2,,JEFF DAWES,R
Wabash,016 - Chester 5,151,174,0,325,County Council District 1,,MATTHEW J. MIZE,R
Wabash,016 - Chester 5,152,188,0,340,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,016 - Chester 5,114,140,0,254,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,016 - Chester 5,92,129,0,221,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,016 - Chester 5,92,116,0,208,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,016 - Chester 5,84,133,0,217,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,016 - Chester 5,92,118,0,210,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,016 - Chester 5,67,126,0,193,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,016 - Chester 5,73,125,0,198,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,016 - Chester 5,43,73,0,116,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,016 - Chester 5,53,73,0,126,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,016 - Chester 5,74,91,0,165,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,016 - Chester 5,136,188,0,324,IN Supreme Court-Slaughter,,YES,
Wabash,016 - Chester 5,32,45,0,77,IN Supreme Court-Slaughter,,NO,
Wabash,016 - Chester 5,135,187,0,322,Court of Appeals Dist 2-Altice,,YES,
Wabash,016 - Chester 5,31,45,0,76,Court of Appeals Dist 2-Altice,,NO,
Wabash,017 - Chester 6,140,156,0,296,Public Question,,YES,
Wabash,017 - Chester 6,83,73,0,156,Public Question,,NO,
Wabash,017 - Chester 6,34,56,0,90,Public Question-Manchester Schools,,YES,
Wabash,017 - Chester 6,193,191,0,384,Public Question-Manchester Schools,,NO,
Wabash,017 - Chester 6,146,151,0,297,U.S. Senate,,MIKE BRAUN,R
Wabash,017 - Chester 6,77,92,0,169,U.S. Senate,,JOE DONNELLY,D
Wabash,017 - Chester 6,11,13,0,24,U.S. Senate,,LUCY M. BRENTON,L
Wabash,017 - Chester 6,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,017 - Chester 6,157,167,0,324,Secretary of State,,CONNIE LAWSON,R
Wabash,017 - Chester 6,67,81,0,148,Secretary of State,,JIM HARPER,D
Wabash,017 - Chester 6,10,4,0,14,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,017 - Chester 6,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,017 - Chester 6,156,164,0,320,Auditor of State,,TERA KLUTZ,R
Wabash,017 - Chester 6,63,78,0,141,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,017 - Chester 6,11,5,0,16,Auditor of State,,JOHN SCHICK,L
Wabash,017 - Chester 6,165,173,0,338,Treasurer of State,,KELLY MITCHELL,R
Wabash,017 - Chester 6,64,75,0,139,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,017 - Chester 6,150,166,0,316,U.S. House,2,JACKIE WALORSKI,R
Wabash,017 - Chester 6,78,83,0,161,U.S. House,2,MEL HALL,D
Wabash,017 - Chester 6,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,017 - Chester 6,159,166,0,325,State Senate,17,ANDY ZAY,R
Wabash,017 - Chester 6,70,81,0,151,State Senate,17,GARY L. SNYDER,D
Wabash,017 - Chester 6,152,164,0,316,State Representative,18,DAVID A. WOLKINS,R
Wabash,017 - Chester 6,79,88,0,167,State Representative,18,DEE M MOORE,D
Wabash,017 - Chester 6,193,201,0,394,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,017 - Chester 6,195,201,0,396,Circuit Court Clerk,,LORI DRAPER,R
Wabash,017 - Chester 6,192,193,0,385,County Recorder,,ERIC RISH,R
Wabash,017 - Chester 6,194,195,0,389,County Sheriff,,RYAN T. BAKER,R
Wabash,017 - Chester 6,190,199,0,389,County Assessor,,KELLY SCHENKEL,R
Wabash,017 - Chester 6,192,192,0,384,County Commissioner District 2,,JEFF DAWES,R
Wabash,017 - Chester 6,188,189,0,377,County Council District 1,,MATTHEW J. MIZE,R
Wabash,017 - Chester 6,191,199,0,390,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,017 - Chester 6,154,141,0,295,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,017 - Chester 6,125,125,0,250,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,017 - Chester 6,117,118,0,235,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,017 - Chester 6,87,104,0,191,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,017 - Chester 6,130,110,0,240,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,017 - Chester 6,85,80,0,165,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,017 - Chester 6,64,80,0,144,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,017 - Chester 6,66,61,0,127,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,017 - Chester 6,82,81,0,163,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,017 - Chester 6,89,96,0,185,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,017 - Chester 6,157,157,0,314,IN Supreme Court-Slaughter,,YES,
Wabash,017 - Chester 6,48,39,0,87,IN Supreme Court-Slaughter,,NO,
Wabash,017 - Chester 6,158,154,0,312,Court of Appeals Dist 2-Altice,,YES,
Wabash,017 - Chester 6,49,37,0,86,Court of Appeals Dist 2-Altice,,NO,
Wabash,018 - Pleasant 1,151,49,0,200,Public Question,,YES,
Wabash,018 - Pleasant 1,70,25,0,95,Public Question,,NO,
Wabash,018 - Pleasant 1,31,15,0,46,Public Question-Manchester Schools,,YES,
Wabash,018 - Pleasant 1,203,69,0,272,Public Question-Manchester Schools,,NO,
Wabash,018 - Pleasant 1,160,50,0,210,U.S. Senate,,MIKE BRAUN,R
Wabash,018 - Pleasant 1,60,29,0,89,U.S. Senate,,JOE DONNELLY,D
Wabash,018 - Pleasant 1,14,6,0,20,U.S. Senate,,LUCY M. BRENTON,L
Wabash,018 - Pleasant 1,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,018 - Pleasant 1,172,54,0,226,Secretary of State,,CONNIE LAWSON,R
Wabash,018 - Pleasant 1,52,27,0,79,Secretary of State,,JIM HARPER,D
Wabash,018 - Pleasant 1,7,4,0,11,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,018 - Pleasant 1,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,018 - Pleasant 1,168,54,0,222,Auditor of State,,TERA KLUTZ,R
Wabash,018 - Pleasant 1,53,25,0,78,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,018 - Pleasant 1,10,4,0,14,Auditor of State,,JOHN SCHICK,L
Wabash,018 - Pleasant 1,176,59,0,235,Treasurer of State,,KELLY MITCHELL,R
Wabash,018 - Pleasant 1,52,24,0,76,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,018 - Pleasant 1,167,55,0,222,U.S. House,2,JACKIE WALORSKI,R
Wabash,018 - Pleasant 1,64,29,0,93,U.S. House,2,MEL HALL,D
Wabash,018 - Pleasant 1,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,018 - Pleasant 1,167,58,0,225,State Senate,17,ANDY ZAY,R
Wabash,018 - Pleasant 1,65,26,0,91,State Senate,17,GARY L. SNYDER,D
Wabash,018 - Pleasant 1,168,56,0,224,State Representative,18,DAVID A. WOLKINS,R
Wabash,018 - Pleasant 1,64,27,0,91,State Representative,18,DEE M MOORE,D
Wabash,018 - Pleasant 1,200,67,0,267,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,018 - Pleasant 1,201,68,0,269,Circuit Court Clerk,,LORI DRAPER,R
Wabash,018 - Pleasant 1,195,63,0,258,County Recorder,,ERIC RISH,R
Wabash,018 - Pleasant 1,201,64,0,265,County Sheriff,,RYAN T. BAKER,R
Wabash,018 - Pleasant 1,203,66,0,269,County Assessor,,KELLY SCHENKEL,R
Wabash,018 - Pleasant 1,201,68,0,269,County Commissioner District 2,,JEFF DAWES,R
Wabash,018 - Pleasant 1,169,55,0,224,County Council District 2,,BARBARA PEARSON,R
Wabash,018 - Pleasant 1,57,28,0,85,County Council District 2,,JANE LONG,D
Wabash,018 - Pleasant 1,137,45,0,182,Pleasant Township Trustee,,REBECCA ANN (BECKY) WARMUTH,D
Wabash,018 - Pleasant 1,137,38,0,175,Pleasant Township Board Member,,STAN BAGLEY,R
Wabash,018 - Pleasant 1,159,59,0,218,Pleasant Township Board Member,,DAVID M. HAWKINS,R
Wabash,018 - Pleasant 1,143,52,0,195,Pleasant Township Board Member,,WILLIAM E. PARKER,R
Wabash,018 - Pleasant 1,84,39,0,123,Pleasant Township Board Member,,GLENDON R. MORGAN,D
Wabash,018 - Pleasant 1,79,32,0,111,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,018 - Pleasant 1,129,38,0,167,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,018 - Pleasant 1,68,34,0,102,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,018 - Pleasant 1,78,27,0,105,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,018 - Pleasant 1,65,22,0,87,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,018 - Pleasant 1,104,28,0,132,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,018 - Pleasant 1,80,20,0,100,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,018 - Pleasant 1,146,50,0,196,IN Supreme Court-Slaughter,,YES,
Wabash,018 - Pleasant 1,50,20,0,70,IN Supreme Court-Slaughter,,NO,
Wabash,018 - Pleasant 1,151,50,0,201,Court of Appeals Dist 2-Altice,,YES,
Wabash,018 - Pleasant 1,48,19,0,67,Court of Appeals Dist 2-Altice,,NO,
Wabash,019 - Pleasant 2,223,88,0,311,Public Question,,YES,
Wabash,019 - Pleasant 2,110,46,0,156,Public Question,,NO,
Wabash,019 - Pleasant 2,61,26,0,87,Public Question-Manchester Schools,,YES,
Wabash,019 - Pleasant 2,298,131,0,429,Public Question-Manchester Schools,,NO,
Wabash,019 - Pleasant 2,270,109,0,379,U.S. Senate,,MIKE BRAUN,R
Wabash,019 - Pleasant 2,72,38,0,110,U.S. Senate,,JOE DONNELLY,D
Wabash,019 - Pleasant 2,27,12,0,39,U.S. Senate,,LUCY M. BRENTON,L
Wabash,019 - Pleasant 2,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,019 - Pleasant 2,289,122,0,411,Secretary of State,,CONNIE LAWSON,R
Wabash,019 - Pleasant 2,59,27,0,86,Secretary of State,,JIM HARPER,D
Wabash,019 - Pleasant 2,13,4,0,17,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,019 - Pleasant 2,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,019 - Pleasant 2,277,117,0,394,Auditor of State,,TERA KLUTZ,R
Wabash,019 - Pleasant 2,66,24,0,90,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,019 - Pleasant 2,12,8,0,20,Auditor of State,,JOHN SCHICK,L
Wabash,019 - Pleasant 2,288,122,0,410,Treasurer of State,,KELLY MITCHELL,R
Wabash,019 - Pleasant 2,69,26,0,95,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,019 - Pleasant 2,286,118,0,404,U.S. House,2,JACKIE WALORSKI,R
Wabash,019 - Pleasant 2,78,36,0,114,U.S. House,2,MEL HALL,D
Wabash,019 - Pleasant 2,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,019 - Pleasant 2,291,123,0,414,State Senate,17,ANDY ZAY,R
Wabash,019 - Pleasant 2,68,28,0,96,State Senate,17,GARY L. SNYDER,D
Wabash,019 - Pleasant 2,290,119,0,409,State Representative,18,DAVID A. WOLKINS,R
Wabash,019 - Pleasant 2,70,31,0,101,State Representative,18,DEE M MOORE,D
Wabash,019 - Pleasant 2,315,131,0,446,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,019 - Pleasant 2,320,138,0,458,Circuit Court Clerk,,LORI DRAPER,R
Wabash,019 - Pleasant 2,313,132,0,445,County Recorder,,ERIC RISH,R
Wabash,019 - Pleasant 2,318,132,0,450,County Sheriff,,RYAN T. BAKER,R
Wabash,019 - Pleasant 2,320,135,0,455,County Assessor,,KELLY SCHENKEL,R
Wabash,019 - Pleasant 2,317,129,0,446,County Commissioner District 2,,JEFF DAWES,R
Wabash,019 - Pleasant 2,286,122,0,408,County Council District 2,,BARBARA PEARSON,R
Wabash,019 - Pleasant 2,71,29,0,100,County Council District 2,,JANE LONG,D
Wabash,019 - Pleasant 2,199,84,0,283,Pleasant Township Trustee,,REBECCA ANN (BECKY) WARMUTH,D
Wabash,019 - Pleasant 2,235,100,0,335,Pleasant Township Board Member,,STAN BAGLEY,R
Wabash,019 - Pleasant 2,241,106,0,347,Pleasant Township Board Member,,DAVID M. HAWKINS,R
Wabash,019 - Pleasant 2,223,97,0,320,Pleasant Township Board Member,,WILLIAM E. PARKER,R
Wabash,019 - Pleasant 2,90,34,0,124,Pleasant Township Board Member,,GLENDON R. MORGAN,D
Wabash,019 - Pleasant 2,141,52,0,193,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,019 - Pleasant 2,177,79,0,256,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,019 - Pleasant 2,115,41,0,156,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,019 - Pleasant 2,110,39,0,149,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,019 - Pleasant 2,84,35,0,119,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,019 - Pleasant 2,136,60,0,196,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,019 - Pleasant 2,136,62,0,198,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,019 - Pleasant 2,221,94,0,315,IN Supreme Court-Slaughter,,YES,
Wabash,019 - Pleasant 2,77,34,0,111,IN Supreme Court-Slaughter,,NO,
Wabash,019 - Pleasant 2,228,96,0,324,Court of Appeals Dist 2-Altice,,YES,
Wabash,019 - Pleasant 2,73,31,0,104,Court of Appeals Dist 2-Altice,,NO,
Wabash,020 - Lagro 1,133,97,0,230,Public Question,,YES,
Wabash,020 - Lagro 1,47,37,0,84,Public Question,,NO,
Wabash,020 - Lagro 1,175,128,0,303,U.S. Senate,,MIKE BRAUN,R
Wabash,020 - Lagro 1,33,36,0,69,U.S. Senate,,JOE DONNELLY,D
Wabash,020 - Lagro 1,6,4,0,10,U.S. Senate,,LUCY M. BRENTON,L
Wabash,020 - Lagro 1,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,020 - Lagro 1,182,130,0,312,Secretary of State,,CONNIE LAWSON,R
Wabash,020 - Lagro 1,26,31,0,57,Secretary of State,,JIM HARPER,D
Wabash,020 - Lagro 1,4,5,0,9,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,020 - Lagro 1,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,020 - Lagro 1,174,125,0,299,Auditor of State,,TERA KLUTZ,R
Wabash,020 - Lagro 1,28,33,0,61,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,020 - Lagro 1,6,3,0,9,Auditor of State,,JOHN SCHICK,L
Wabash,020 - Lagro 1,180,134,0,314,Treasurer of State,,KELLY MITCHELL,R
Wabash,020 - Lagro 1,30,27,0,57,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,020 - Lagro 1,173,132,0,305,U.S. House,2,JACKIE WALORSKI,R
Wabash,020 - Lagro 1,38,34,0,72,U.S. House,2,MEL HALL,D
Wabash,020 - Lagro 1,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,020 - Lagro 1,180,130,0,310,State Senate,17,ANDY ZAY,R
Wabash,020 - Lagro 1,32,34,0,66,State Senate,17,GARY L. SNYDER,D
Wabash,020 - Lagro 1,179,134,0,313,State Representative,18,DAVID A. WOLKINS,R
Wabash,020 - Lagro 1,32,31,0,63,State Representative,18,DEE M MOORE,D
Wabash,020 - Lagro 1,188,141,0,329,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,020 - Lagro 1,188,148,0,336,Circuit Court Clerk,,LORI DRAPER,R
Wabash,020 - Lagro 1,186,144,0,330,County Recorder,,ERIC RISH,R
Wabash,020 - Lagro 1,193,148,0,341,County Sheriff,,RYAN T. BAKER,R
Wabash,020 - Lagro 1,192,151,0,343,County Assessor,,KELLY SCHENKEL,R
Wabash,020 - Lagro 1,188,152,0,340,County Commissioner District 2,,JEFF DAWES,R
Wabash,020 - Lagro 1,189,148,0,337,County Council District 4,,KYLE M. BOWMAN,R
Wabash,020 - Lagro 1,157,122,0,279,Lagro Township Trustee,,ERIC &quot;ET&quot; TERRELL,R
Wabash,020 - Lagro 1,34,28,0,62,Lagro Township Trustee,,NANCY WHITMER,D
Wabash,020 - Lagro 1,19,15,0,34,Lagro Township Trustee,,(I) BEVERLY BURNS,I
Wabash,020 - Lagro 1,106,87,0,193,Lagro Township Board Member,,ROB COLE,R
Wabash,020 - Lagro 1,139,106,0,245,Lagro Township Board Member,,GARY W. HUNTER,R
Wabash,020 - Lagro 1,131,98,0,229,Lagro Township Board Member,,DEB SCHENKEL,R
Wabash,020 - Lagro 1,24,26,0,50,Lagro Township Board Member,,LLOYD M. BENTLEY,D
Wabash,020 - Lagro 1,13,13,0,26,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,020 - Lagro 1,112,85,0,197,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,020 - Lagro 1,65,46,0,111,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,020 - Lagro 1,12,6,0,18,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,020 - Lagro 1,81,82,0,163,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,020 - Lagro 1,42,27,0,69,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,020 - Lagro 1,54,32,0,86,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,020 - Lagro 1,145,116,0,261,IN Supreme Court-Slaughter,,YES,
Wabash,020 - Lagro 1,39,22,0,61,IN Supreme Court-Slaughter,,NO,
Wabash,020 - Lagro 1,149,112,0,261,Court of Appeals Dist 2-Altice,,YES,
Wabash,020 - Lagro 1,35,22,0,57,Court of Appeals Dist 2-Altice,,NO,
Wabash,021 - Lagro 2,228,104,0,332,Public Question,,YES,
Wabash,021 - Lagro 2,84,35,0,119,Public Question,,NO,
Wabash,021 - Lagro 2,291,134,0,425,U.S. Senate,,MIKE BRAUN,R
Wabash,021 - Lagro 2,77,47,0,124,U.S. Senate,,JOE DONNELLY,D
Wabash,021 - Lagro 2,11,2,0,13,U.S. Senate,,LUCY M. BRENTON,L
Wabash,021 - Lagro 2,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,021 - Lagro 2,300,134,0,434,Secretary of State,,CONNIE LAWSON,R
Wabash,021 - Lagro 2,61,41,0,102,Secretary of State,,JIM HARPER,D
Wabash,021 - Lagro 2,9,4,0,13,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,021 - Lagro 2,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,021 - Lagro 2,290,133,0,423,Auditor of State,,TERA KLUTZ,R
Wabash,021 - Lagro 2,68,43,0,111,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,021 - Lagro 2,12,4,0,16,Auditor of State,,JOHN SCHICK,L
Wabash,021 - Lagro 2,309,144,0,453,Treasurer of State,,KELLY MITCHELL,R
Wabash,021 - Lagro 2,62,38,0,100,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,021 - Lagro 2,297,143,0,440,U.S. House,2,JACKIE WALORSKI,R
Wabash,021 - Lagro 2,75,41,0,116,U.S. House,2,MEL HALL,D
Wabash,021 - Lagro 2,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,021 - Lagro 2,299,140,0,439,State Senate,17,ANDY ZAY,R
Wabash,021 - Lagro 2,72,42,0,114,State Senate,17,GARY L. SNYDER,D
Wabash,021 - Lagro 2,294,140,0,434,State Representative,18,DAVID A. WOLKINS,R
Wabash,021 - Lagro 2,78,42,0,120,State Representative,18,DEE M MOORE,D
Wabash,021 - Lagro 2,320,147,0,467,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,021 - Lagro 2,334,158,0,492,Circuit Court Clerk,,LORI DRAPER,R
Wabash,021 - Lagro 2,317,149,0,466,County Recorder,,ERIC RISH,R
Wabash,021 - Lagro 2,334,154,0,488,County Sheriff,,RYAN T. BAKER,R
Wabash,021 - Lagro 2,338,160,0,498,County Assessor,,KELLY SCHENKEL,R
Wabash,021 - Lagro 2,330,151,0,481,County Commissioner District 2,,JEFF DAWES,R
Wabash,021 - Lagro 2,323,152,0,475,County Council District 4,,KYLE M. BOWMAN,R
Wabash,021 - Lagro 2,253,111,0,364,Lagro Township Trustee,,ERIC &quot;ET&quot; TERRELL,R
Wabash,021 - Lagro 2,55,34,0,89,Lagro Township Trustee,,NANCY WHITMER,D
Wabash,021 - Lagro 2,70,38,0,108,Lagro Township Trustee,,(I) BEVERLY BURNS,I
Wabash,021 - Lagro 2,163,87,0,250,Lagro Township Board Member,,ROB COLE,R
Wabash,021 - Lagro 2,211,93,0,304,Lagro Township Board Member,,GARY W. HUNTER,R
Wabash,021 - Lagro 2,232,116,0,348,Lagro Township Board Member,,DEB SCHENKEL,R
Wabash,021 - Lagro 2,87,45,0,132,Lagro Township Board Member,,LLOYD M. BENTLEY,D
Wabash,021 - Lagro 2,42,19,0,61,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,021 - Lagro 2,155,59,0,214,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,021 - Lagro 2,139,72,0,211,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,021 - Lagro 2,14,11,0,25,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,021 - Lagro 2,134,37,0,171,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,021 - Lagro 2,81,39,0,120,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,021 - Lagro 2,112,62,0,174,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,021 - Lagro 2,211,97,0,308,IN Supreme Court-Slaughter,,YES,
Wabash,021 - Lagro 2,86,35,0,121,IN Supreme Court-Slaughter,,NO,
Wabash,021 - Lagro 2,215,97,0,312,Court of Appeals Dist 2-Altice,,YES,
