candidate,id,office,district,party,county,precinct,election_day,absentee,provisional,votes
Write in,1088,U.S. Senate,,,Warrick,Ohio 33,0,0,0,0
Connie Lawson,1089,Secretary of State,,R,Warrick,Ohio 33,239,80,0,319
Jim Harper,1090,Secretary of State,,D,Warrick,Ohio 33,95,60,0,155
Mark W. Rutherford,1091,Secretary of State,,L,Warrick,Ohio 33,8,4,0,12
Write in,1092,Secretary of State,,,Warrick,Ohio 33,0,1,0,1
Tera Klutz,1093,Auditor of State,,R,Warrick,Ohio 33,233,82,0,315
Joselyn Whitticker,1094,Auditor of State,,D,Warrick,Ohio 33,97,56,0,153
John Schick,1095,Auditor of State,,L,Warrick,Ohio 33,8,5,0,13
Kelly Mitchell,1096,Treasurer of State,,R,Warrick,Ohio 33,249,87,0,336
John C. Aguilera,1097,Treasurer of State,,D,Warrick,Ohio 33,91,55,0,146
Larry D Bucshon,1098,U.S. House,8,R,Warrick,Ohio 33,248,79,0,327
William Tanoos,1099,U.S. House,8,D,Warrick,Ohio 33,96,66,0,162
Write in,1100,U.S. House,8,,Warrick,Ohio 33,0,0,0,0
Ron Bacon ,1101,State Representative,75,R,Warrick,Ohio 33,242,80,0,322
John Hurley ,1102,State Representative,75,D,Warrick,Ohio 33,100,64,0,164
,1103,Registered Voters,,,Warrick,Owen,,,,450
,1104,Ballots Cast,,,Warrick,Owen,220,,,
Mike Braun,1105,U.S. Senate,,R,Warrick,Owen,126,14,0,140
Joe Donnelly,1106,U.S. Senate,,D,Warrick,Owen,86,14,0,100
Lucy M Brenton,1107,U.S. Senate,,L,Warrick,Owen,8,1,0,9
Write in,1108,U.S. Senate,,,Warrick,Owen,0,0,0,0
Connie Lawson,1109,Secretary of State,,R,Warrick,Owen,130,15,0,145
Jim Harper,1110,Secretary of State,,D,Warrick,Owen,78,13,0,91
Mark W. Rutherford,1111,Secretary of State,,L,Warrick,Owen,4,1,0,5
Write in,1112,Secretary of State,,,Warrick,Owen,0,0,0,0
Tera Klutz,1113,Auditor of State,,R,Warrick,Owen,135,14,0,149
Joselyn Whitticker,1114,Auditor of State,,D,Warrick,Owen,75,13,0,88
John Schick,1115,Auditor of State,,L,Warrick,Owen,2,2,0,4
Kelly Mitchell,1116,Treasurer of State,,R,Warrick,Owen,139,15,0,154
John C. Aguilera,1117,Treasurer of State,,D,Warrick,Owen,74,14,0,88
Larry D Bucshon,1118,U.S. House,8,R,Warrick,Owen,139,15,0,154
William Tanoos,1119,U.S. House,8,D,Warrick,Owen,75,14,0,89
Write in,1120,U.S. House,8,,Warrick,Owen,1,0,0,1
Mark Messmer,1121,State Senate,48,R,Warrick,Owen,163,18,0,181
No Candidate Filed,1122,State Senate,48,D,Warrick,Owen,0,0,0,0
Ron Bacon ,1123,State Representative,75,R,Warrick,Owen,,,,152
John Hurley ,1124,State Representative,75,D,Warrick,Owen,,,,93
,1125,Registered Voters,,,Warrick,Pigeon,,,,682
,1126,Ballots Cast,,,Warrick,Pigeon,329,,,
Mike Braun,1127,U.S. Senate,,R,Warrick,Pigeon,191,22,0,213
Joe Donnelly,1128,U.S. Senate,,D,Warrick,Pigeon,114,24,0,138
Lucy M Brenton,1129,U.S. Senate,,L,Warrick,Pigeon,19,1,0,20
Write in,1130,U.S. Senate,,,Warrick,Pigeon,0,0,0,0
Connie Lawson,1131,Secretary of State,,R,Warrick,Pigeon,213,23,0,236
Jim Harper,1132,Secretary of State,,D,Warrick,Pigeon,99,20,0,119
Mark W. Rutherford,1133,Secretary of State,,L,Warrick,Pigeon,8,3,0,11
Write in,1134,Secretary of State,,,Warrick,Pigeon,0,1,0,1
Tera Klutz,1135,Auditor of State,,R,Warrick,Pigeon,205,20,0,225
Joselyn Whitticker,1136,Auditor of State,,D,Warrick,Pigeon,107,22,0,129
John Schick,1137,Auditor of State,,L,Warrick,Pigeon,7,3,0,10
Kelly Mitchell,1138,Treasurer of State,,R,Warrick,Pigeon,221,24,0,245
John C. Aguilera,1139,Treasurer of State,,D,Warrick,Pigeon,98,22,0,120
Larry D Bucshon,1140,U.S. House,8,R,Warrick,Pigeon,217,25,0,242
William Tanoos,1141,U.S. House,8,D,Warrick,Pigeon,104,23,0,127
Write in,1142,U.S. House,8,,Warrick,Pigeon,0,0,0,0
Mark Messmer,1143,State Senate,48,R,Warrick,Pigeon,266,32,0,298
No Candidate Filed,1144,State Senate,48,D,Warrick,Pigeon,0,0,0,0
Ron Bacon ,1145,State Representative,75,R,Warrick,Pigeon,,,,233
John Hurley ,1146,State Representative,75,D,Warrick,Pigeon,,,,137
,1147,Registered Voters,,,Warrick,Skelton 1,,,,433
,1148,Ballots Cast,,,Warrick,Skelton 1,200,,,
Mike Braun,1149,U.S. Senate,,R,Warrick,Skelton 1,125,23,0,148
Joe Donnelly,1150,U.S. Senate,,D,Warrick,Skelton 1,59,14,0,73
Lucy M Brenton,1151,U.S. Senate,,L,Warrick,Skelton 1,12,1,0,13
Write in,1152,U.S. Senate,,,Warrick,Skelton 1,0,0,0,0
Connie Lawson,1153,Secretary of State,,R,Warrick,Skelton 1,129,26,0,155
Jim Harper,1154,Secretary of State,,D,Warrick,Skelton 1,49,13,0,62
Mark W. Rutherford,1155,Secretary of State,,L,Warrick,Skelton 1,11,0,0,11
Write in,1156,Secretary of State,,,Warrick,Skelton 1,0,0,0,0
Tera Klutz,1157,Auditor of State,,R,Warrick,Skelton 1,118,23,0,141
Joselyn Whitticker,1158,Auditor of State,,D,Warrick,Skelton 1,56,12,0,68
John Schick,1159,Auditor of State,,L,Warrick,Skelton 1,12,1,0,13
Kelly Mitchell,1160,Treasurer of State,,R,Warrick,Skelton 1,136,23,0,159
John C. Aguilera,1161,Treasurer of State,,D,Warrick,Skelton 1,51,13,0,64
Larry D Bucshon,1162,U.S. House,8,R,Warrick,Skelton 1,137,24,0,161
William Tanoos,1163,U.S. House,8,D,Warrick,Skelton 1,52,14,0,66
Write in,1164,U.S. House,8,,Warrick,Skelton 1,0,0,0,0
Mark Messmer,1165,State Senate,48,R,Warrick,Skelton 1,153,26,0,179
No Candidate Filed,1166,State Senate,48,D,Warrick,Skelton 1,0,0,0,0
Ron Bacon ,1167,State Representative,75,R,Warrick,Skelton 1,,,,164
John Hurley ,1168,State Representative,75,D,Warrick,Skelton 1,,,,70
,1169,Registered Voters,,,Warrick,Skelton 2,,,,732
,1170,Ballots Cast,,,Warrick,Skelton 2,334,,,
Mike Braun,1171,U.S. Senate,,R,Warrick,Skelton 2,190,40,0,230
Joe Donnelly,1172,U.S. Senate,,D,Warrick,Skelton 2,125,27,0,152
Lucy M Brenton,1173,U.S. Senate,,L,Warrick,Skelton 2,15,2,0,17
Write in,1174,U.S. Senate,,,Warrick,Skelton 2,0,0,0,0
Connie Lawson,1175,Secretary of State,,R,Warrick,Skelton 2,200,43,0,243
Jim Harper,1176,Secretary of State,,D,Warrick,Skelton 2,107,26,0,133
Mark W. Rutherford,1177,Secretary of State,,L,Warrick,Skelton 2,16,0,0,16
Write in,1178,Secretary of State,,,Warrick,Skelton 2,1,0,0,1
Tera Klutz,1179,Auditor of State,,R,Warrick,Skelton 2,194,41,0,235
Joselyn Whitticker,1180,Auditor of State,,D,Warrick,Skelton 2,113,27,0,140
John Schick,1181,Auditor of State,,L,Warrick,Skelton 2,14,0,0,14
Kelly Mitchell,1182,Treasurer of State,,R,Warrick,Skelton 2,222,43,0,265
John C. Aguilera,1183,Treasurer of State,,D,Warrick,Skelton 2,102,26,0,128
Larry D Bucshon,1184,U.S. House,8,R,Warrick,Skelton 2,214,44,0,258
William Tanoos,1185,U.S. House,8,D,Warrick,Skelton 2,113,25,0,138
Write in,1186,U.S. House,8,,Warrick,Skelton 2,0,0,0,0
Mark Messmer,1187,State Senate,48,R,Warrick,Skelton 2,258,49,0,307
No Candidate Filed,1188,State Senate,48,D,Warrick,Skelton 2,0,0,0,0
Ron Bacon ,1189,State Representative,75,R,Warrick,Skelton 2,,,,250
John Hurley ,1190,State Representative,75,D,Warrick,Skelton 2,,,,147
