candidate,office,district,party,county,precinct,votes,,,
John Schick,Auditor of State,,L,Hancock,M-1,40,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,M-1,707,,,
John C. Aguilera,Treasurer of State,,D,Hancock,M-1,368,,,
Greg Pence,US House,,R,Hancock,M-1,645,,,
Jeannine Lee Lake,US House,,D,Hancock,M-1,411,,,
Tom Ferkinhoff,US House,,L,Hancock,M-1,34,,,
Write in,US House,,,Hancock,M-1,0,,,
Brian C Bosma,State Representative,88,R,Hancock,M-1,644,,,
Poonam Gill ,State Representative,88,D,Hancock,M-1,446,,,
,Registered Voters,,,Hancock,M-1 SOUTHEAST,1565,,,
,Ballots Cast,,,Hancock,M-1 SOUTHEAST,957,,,
,Straight Party,,R,Hancock,M-1 SOUTHEAST,308,,,
,Straight Party,,D,Hancock,M-1 SOUTHEAST,276,,,
,Straight Party,,L,Hancock,M-1 SOUTHEAST,0,,,
Mike Braun,U.S. Senate,,R,Hancock,M-1 SOUTHEAST,438,,,
Joe Donnelly,U.S. Senate,,D,Hancock,M-1 SOUTHEAST,478,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,M-1 SOUTHEAST,37,,,
Write in,U.S. Senate,,,Hancock,M-1 SOUTHEAST,0,,,
Connie Lawson,Secretary of State,,R,Hancock,M-1 SOUTHEAST,499,,,
Jim Harper,Secretary of State,,D,Hancock,M-1 SOUTHEAST,417,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,M-1 SOUTHEAST,32,,,
Write in,Secretary of State,,,Hancock,M-1 SOUTHEAST,0,,,
Tera Klutz,Auditor of State,,R,Hancock,M-1 SOUTHEAST,507,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,M-1 SOUTHEAST,405,,,
John Schick,Auditor of State,,L,Hancock,M-1 SOUTHEAST,31,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,M-1 SOUTHEAST,528,,,
John C. Aguilera,Treasurer of State,,D,Hancock,M-1 SOUTHEAST,417,,,
Greg Pence,US House,,R,Hancock,M-1 SOUTHEAST,476,,,
Jeannine Lee Lake,US House,,D,Hancock,M-1 SOUTHEAST,448,,,
Tom Ferkinhoff,US House,,L,Hancock,M-1 SOUTHEAST,25,,,
Write in,US House,,,Hancock,M-1 SOUTHEAST,1,,,
Brian C Bosma,State Representative,88,R,Hancock,M-1 SOUTHEAST,462,,,
Poonam Gill ,State Representative,88,D,Hancock,M-1 SOUTHEAST,488,,,
,Registered Voters,,,Hancock,M-2,1327,,,
,Ballots Cast,,,Hancock,M-2,647,,,
,Straight Party,,R,Hancock,M-2,199,,,
,Straight Party,,D,Hancock,M-2,205,,,
,Straight Party,,L,Hancock,M-2,2,,,
Mike Braun,U.S. Senate,,R,Hancock,M-2,294,,,
Joe Donnelly,U.S. Senate,,D,Hancock,M-2,325,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,M-2,28,,,
Write in,U.S. Senate,,,Hancock,M-2,0,,,
Connie Lawson,Secretary of State,,R,Hancock,M-2,322,,,
Jim Harper,Secretary of State,,D,Hancock,M-2,292,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,M-2,24,,,
Write in,Secretary of State,,,Hancock,M-2,1,,,
Tera Klutz,Auditor of State,,R,Hancock,M-2,310,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,M-2,294,,,
John Schick,Auditor of State,,L,Hancock,M-2,32,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,M-2,336,,,
John C. Aguilera,Treasurer of State,,D,Hancock,M-2,299,,,
Greg Pence,US House,,R,Hancock,M-2,309,,,
Jeannine Lee Lake,US House,,D,Hancock,M-2,314,,,
Tom Ferkinhoff,US House,,L,Hancock,M-2,23,,,
Write in,US House,,,Hancock,M-2,0,,,
Brian C Bosma,State Representative,88,R,Hancock,M-2,297,,,
Poonam Gill ,State Representative,88,D,Hancock,M-2,347,,,
,Registered Voters,,,Hancock,SUGAR CREEK 1-E,462,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 1-E,277,,,
,Straight Party,,R,Hancock,SUGAR CREEK 1-E,116,,,
,Straight Party,,D,Hancock,SUGAR CREEK 1-E,24,,,
,Straight Party,,L,Hancock,SUGAR CREEK 1-E,1,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 1-E,180,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 1-E,86,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 1-E,11,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 1-E,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 1-E,202,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 1-E,65,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 1-E,7,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 1-E,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 1-E,196,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 1-E,62,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 1-E,11,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 1-E,197,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 1-E,70,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 1-E,191,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 1-E,77,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 1-E,7,,,
Write in,US House,,,Hancock,SUGAR CREEK 1-E,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 1-E,228,,,
,Registered Voters,,,Hancock,SUGAR CREEK 1-W,1262,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 1-W,832,,,
,Straight Party,,R,Hancock,SUGAR CREEK 1-W,343,,,
,Straight Party,,D,Hancock,SUGAR CREEK 1-W,109,,,
,Straight Party,,L,Hancock,SUGAR CREEK 1-W,0,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 1-W,534,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 1-W,268,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 1-W,25,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 1-W,1,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 1-W,583,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 1-W,212,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 1-W,23,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 1-W,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 1-W,562,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 1-W,219,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 1-W,22,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 1-W,587,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 1-W,222,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 1-W,549,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 1-W,253,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 1-W,23,,,
Write in,US House,,,Hancock,SUGAR CREEK 1-W,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 1-W,644,,,
,Registered Voters,,,Hancock,SUGAR CREEK 2,1700,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 2,1025,,,
,Straight Party,,R,Hancock,SUGAR CREEK 2,406,,,
,Straight Party,,D,Hancock,SUGAR CREEK 2,132,,,
,Straight Party,,L,Hancock,SUGAR CREEK 2,1,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 2,637,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 2,341,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 2,37,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 2,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 2,723,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 2,253,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 2,34,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 2,1,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 2,707,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 2,262,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 2,34,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 2,737,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 2,260,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 2,682,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 2,298,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 2,33,,,
Write in,US House,,,Hancock,SUGAR CREEK 2,1,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,SUGAR CREEK 2,721,,,
Nancy Tibbett,State Representative,53,D,Hancock,SUGAR CREEK 2,286,,,
,Registered Voters,,,Hancock,SUGAR CREEK 3,1065,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 3,594,,,
,Straight Party,,R,Hancock,SUGAR CREEK 3,240,,,
,Straight Party,,D,Hancock,SUGAR CREEK 3,64,,,
,Straight Party,,L,Hancock,SUGAR CREEK 3,1,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 3,391,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 3,168,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 3,30,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 3,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 3,419,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 3,136,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 3,26,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 3,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 3,413,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 3,140,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 3,26,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 3,436,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 3,139,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 3,413,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 3,159,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 3,15,,,
Write in,US House,,,Hancock,SUGAR CREEK 3,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,SUGAR CREEK 3,425,,,
Nancy Tibbett,State Representative,53,D,Hancock,SUGAR CREEK 3,151,,,
,Registered Voters,,,Hancock,SUGAR CREEK 4,542,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 4,296,,,
,Straight Party,,R,Hancock,SUGAR CREEK 4,135,,,
,Straight Party,,D,Hancock,SUGAR CREEK 4,30,,,
,Straight Party,,L,Hancock,SUGAR CREEK 4,1,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 4,210,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 4,74,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 4,10,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 4,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 4,218,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 4,67,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 4,6,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 4,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 4,218,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 4,64,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 4,7,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 4,223,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 4,65,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 4,215,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 4,71,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 4,8,,,
Write in,US House,,,Hancock,SUGAR CREEK 4,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 4,240,,,
,Registered Voters,,,Hancock,SUGAR CREEK 5,891,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 5,510,,,
,Straight Party,,R,Hancock,SUGAR CREEK 5,200,,,
,Straight Party,,D,Hancock,SUGAR CREEK 5,40,,,
,Straight Party,,L,Hancock,SUGAR CREEK 5,0,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 5,352,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 5,124,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 5,26,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 5,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 5,393,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 5,93,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 5,17,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 5,1,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 5,380,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 5,95,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 5,24,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 5,398,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 5,97,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 5,375,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 5,113,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 5,19,,,
Write in,US House,,,Hancock,SUGAR CREEK 5,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,SUGAR CREEK 5,391,,,
Nancy Tibbett,State Representative,53,D,Hancock,SUGAR CREEK 5,110,,,
,Registered Voters,,,Hancock,SUGAR CREEK 6,1370,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 6,833,,,
,Straight Party,,R,Hancock,SUGAR CREEK 6,367,,,
,Straight Party,,D,Hancock,SUGAR CREEK 6,106,,,
,Straight Party,,L,Hancock,SUGAR CREEK 6,0,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 6,541,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 6,265,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 6,25,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 6,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 6,595,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 6,206,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 6,21,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 6,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 6,587,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 6,210,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 6,22,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 6,606,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 6,209,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 6,578,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 6,232,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 6,16,,,
Write in,US House,,,Hancock,SUGAR CREEK 6,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 6,660,,,
,Registered Voters,,,Hancock,SUGAR CREEK 7,1485,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 7,850,,,
,Straight Party,,R,Hancock,SUGAR CREEK 7,335,,,
,Straight Party,,D,Hancock,SUGAR CREEK 7,107,,,
,Straight Party,,L,Hancock,SUGAR CREEK 7,2,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 7,543,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 7,268,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 7,36,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 7,1,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 7,596,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 7,207,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 7,38,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 7,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 7,590,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 7,212,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 7,34,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 7,620,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 7,218,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 7,578,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 7,247,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 7,20,,,
Write in,US House,,,Hancock,SUGAR CREEK 7,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,SUGAR CREEK 7,596,,,
Nancy Tibbett,State Representative,53,D,Hancock,SUGAR CREEK 7,244,,,
,Registered Voters,,,Hancock,SUGAR CREEK 8,1477,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 8,846,,,
,Straight Party,,R,Hancock,SUGAR CREEK 8,386,,,
,Straight Party,,D,Hancock,SUGAR CREEK 8,105,,,
,Straight Party,,L,Hancock,SUGAR CREEK 8,3,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 8,550,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 8,245,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 8,47,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 8,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 8,603,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 8,199,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 8,34,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 8,1,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 8,593,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 8,208,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 8,33,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 8,629,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 8,201,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 8,583,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 8,229,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 8,31,,,
Write in,US House,,,Hancock,SUGAR CREEK 8,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 8,685,,,
,Registered Voters,,,Hancock,SUGAR CREEK 9,1549,,,
,Ballots Cast,,,Hancock,SUGAR CREEK 9,971,,,
,Straight Party,,R,Hancock,SUGAR CREEK 9,406,,,
,Straight Party,,D,Hancock,SUGAR CREEK 9,85,,,
,Straight Party,,L,Hancock,SUGAR CREEK 9,5,,,
Mike Braun,U.S. Senate,,R,Hancock,SUGAR CREEK 9,669,,,
Joe Donnelly,U.S. Senate,,D,Hancock,SUGAR CREEK 9,256,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,SUGAR CREEK 9,42,,,
Write in,U.S. Senate,,,Hancock,SUGAR CREEK 9,0,,,
Connie Lawson,Secretary of State,,R,Hancock,SUGAR CREEK 9,746,,,
Jim Harper,Secretary of State,,D,Hancock,SUGAR CREEK 9,188,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,SUGAR CREEK 9,26,,,
Write in,Secretary of State,,,Hancock,SUGAR CREEK 9,0,,,
Tera Klutz,Auditor of State,,R,Hancock,SUGAR CREEK 9,716,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,SUGAR CREEK 9,210,,,
John Schick,Auditor of State,,L,Hancock,SUGAR CREEK 9,25,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,SUGAR CREEK 9,750,,,
John C. Aguilera,Treasurer of State,,D,Hancock,SUGAR CREEK 9,193,,,
Greg Pence,US House,,R,Hancock,SUGAR CREEK 9,694,,,
Jeannine Lee Lake,US House,,D,Hancock,SUGAR CREEK 9,231,,,
Tom Ferkinhoff,US House,,L,Hancock,SUGAR CREEK 9,34,,,
Write in,US House,,,Hancock,SUGAR CREEK 9,0,,,
Sean R Eberhart,State Representative,57,R,Hancock,SUGAR CREEK 9,809,,,
,Registered Voters,,,Hancock,V-1,1900,,,
,Ballots Cast,,,Hancock,V-1,1084,,,
,Straight Party,,R,Hancock,V-1,462,,,
,Straight Party,,D,Hancock,V-1,139,,,
,Straight Party,,L,Hancock,V-1,1,,,
Mike Braun,U.S. Senate,,R,Hancock,V-1,731,,,
Joe Donnelly,U.S. Senate,,D,Hancock,V-1,312,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,V-1,38,,,
Write in,U.S. Senate,,,Hancock,V-1,1,,,
Connie Lawson,Secretary of State,,R,Hancock,V-1,782,,,
Jim Harper,Secretary of State,,D,Hancock,V-1,256,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,V-1,35,,,
Write in,Secretary of State,,,Hancock,V-1,1,,,
Tera Klutz,Auditor of State,,R,Hancock,V-1,768,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,V-1,254,,,
John Schick,Auditor of State,,L,Hancock,V-1,50,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,V-1,808,,,
John C. Aguilera,Treasurer of State,,D,Hancock,V-1,262,,,
Greg Pence,US House,,R,Hancock,V-1,755,,,
Jeannine Lee Lake,US House,,D,Hancock,V-1,295,,,
Tom Ferkinhoff,US House,,L,Hancock,V-1,28,,,
Write in,US House,,,Hancock,V-1,0,,,
Brian C Bosma,State Representative,88,R,Hancock,V-1,770,,,
Poonam Gill ,State Representative,88,D,Hancock,V-1,302,,,
,Registered Voters,,,Hancock,V-1 NORTHWEST,183,,,
,Ballots Cast,,,Hancock,V-1 NORTHWEST,110,,,
,Straight Party,,R,Hancock,V-1 NORTHWEST,49,,,
,Straight Party,,D,Hancock,V-1 NORTHWEST,14,,,
,Straight Party,,L,Hancock,V-1 NORTHWEST,0,,,
Mike Braun,U.S. Senate,,R,Hancock,V-1 NORTHWEST,70,,,
Joe Donnelly,U.S. Senate,,D,Hancock,V-1 NORTHWEST,38,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,V-1 NORTHWEST,2,,,
Write in,U.S. Senate,,,Hancock,V-1 NORTHWEST,0,,,
Connie Lawson,Secretary of State,,R,Hancock,V-1 NORTHWEST,81,,,
Jim Harper,Secretary of State,,D,Hancock,V-1 NORTHWEST,28,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,V-1 NORTHWEST,1,,,
Write in,Secretary of State,,,Hancock,V-1 NORTHWEST,0,,,
Tera Klutz,Auditor of State,,R,Hancock,V-1 NORTHWEST,75,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,V-1 NORTHWEST,31,,,
John Schick,Auditor of State,,L,Hancock,V-1 NORTHWEST,4,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,V-1 NORTHWEST,80,,,
John C. Aguilera,Treasurer of State,,D,Hancock,V-1 NORTHWEST,30,,,
Greg Pence,US House,,R,Hancock,V-1 NORTHWEST,72,,,
Jeannine Lee Lake,US House,,D,Hancock,V-1 NORTHWEST,35,,,
Tom Ferkinhoff,US House,,L,Hancock,V-1 NORTHWEST,3,,,
Write in,US House,,,Hancock,V-1 NORTHWEST,0,,,
Brian C Bosma,State Representative,88,R,Hancock,V-1 NORTHWEST,72,,,
Poonam Gill ,State Representative,88,D,Hancock,V-1 NORTHWEST,38,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
